"module","module_content_number","multi_omics_num","include_genes","genes","include_metabolites","metabolites","include_pathways","pathways"
"Functional_module_216",1,1,TRUE,"DNAJC5",FALSE,NA,FALSE,NA
"Functional_module_217",1,1,TRUE,"DNAJC6",FALSE,NA,FALSE,NA
"Functional_module_218",1,1,TRUE,"DNAL4",FALSE,NA,FALSE,NA
"Functional_module_219",1,1,TRUE,"DNASE2B",FALSE,NA,FALSE,NA
"Functional_module_22",1,1,TRUE,"AIFM2",FALSE,NA,FALSE,NA
"Functional_module_220",1,1,TRUE,"DNPEP",FALSE,NA,FALSE,NA
"Functional_module_221",1,1,TRUE,"DOK4",FALSE,NA,FALSE,NA
"Functional_module_222",1,1,TRUE,"DPH2",FALSE,NA,FALSE,NA
"Functional_module_223",1,1,TRUE,"DPP9",FALSE,NA,FALSE,NA
"Functional_module_224",1,1,TRUE,"DRAP1",FALSE,NA,FALSE,NA
"Functional_module_225",1,1,TRUE,"DTD1",FALSE,NA,FALSE,NA
"Functional_module_226",1,1,TRUE,"DTNB",FALSE,NA,FALSE,NA
"Functional_module_227",1,1,TRUE,"DUSP23",FALSE,NA,FALSE,NA
"Functional_module_228",1,1,TRUE,"EEF1AKMT1",FALSE,NA,FALSE,NA
"Functional_module_229",1,1,TRUE,"EGK_00472",FALSE,NA,FALSE,NA
"Functional_module_23",4,2,TRUE,"AK1/ME1/ME3",TRUE,"C00074",FALSE,NA
"Functional_module_230",1,1,TRUE,"EGK_01871",FALSE,NA,FALSE,NA
"Functional_module_231",1,1,TRUE,"EGK_02795",FALSE,NA,FALSE,NA
"Functional_module_232",1,1,TRUE,"EGK_03533",FALSE,NA,FALSE,NA
"Functional_module_233",1,1,TRUE,"EGK_04223",FALSE,NA,FALSE,NA
"Functional_module_234",1,1,TRUE,"EGK_04742",FALSE,NA,FALSE,NA
"Functional_module_235",1,1,TRUE,"EGK_04825",FALSE,NA,FALSE,NA
"Functional_module_236",1,1,TRUE,"EGK_06583",FALSE,NA,FALSE,NA
"Functional_module_237",1,1,TRUE,"EGK_08523",FALSE,NA,FALSE,NA
"Functional_module_238",1,1,TRUE,"EGK_08838",FALSE,NA,FALSE,NA
"Functional_module_239",1,1,TRUE,"EGK_11564",FALSE,NA,FALSE,NA
"Functional_module_24",1,1,TRUE,"AKR1C1",FALSE,NA,FALSE,NA
"Functional_module_240",1,1,TRUE,"EGK_11796",FALSE,NA,FALSE,NA
"Functional_module_241",1,1,TRUE,"EGK_12234",FALSE,NA,FALSE,NA
"Functional_module_242",1,1,TRUE,"EGK_12331",FALSE,NA,FALSE,NA
"Functional_module_243",1,1,TRUE,"EGK_12722",FALSE,NA,FALSE,NA
"Functional_module_244",1,1,TRUE,"EGK_13191",FALSE,NA,FALSE,NA
"Functional_module_245",1,1,TRUE,"EGK_15403",FALSE,NA,FALSE,NA
"Functional_module_246",1,1,TRUE,"EGK_17670",FALSE,NA,FALSE,NA
"Functional_module_247",1,1,TRUE,"EGK_18054",FALSE,NA,FALSE,NA
"Functional_module_248",1,1,TRUE,"EGK_19091",FALSE,NA,FALSE,NA
"Functional_module_249",1,1,TRUE,"EGK_19417",FALSE,NA,FALSE,NA
"Functional_module_25",4,1,TRUE,"ALAD/FECH/UROD/UROS",FALSE,NA,FALSE,NA
"Functional_module_250",1,1,TRUE,"EGK_20229",FALSE,NA,FALSE,NA
"Functional_module_251",1,1,TRUE,"EGK_21395",FALSE,NA,FALSE,NA
"Functional_module_252",1,1,TRUE,"EIF2AK2",FALSE,NA,FALSE,NA
"Functional_module_253",1,1,TRUE,"EIPR1",FALSE,NA,FALSE,NA
"Functional_module_254",1,1,TRUE,"ELOC",FALSE,NA,FALSE,NA
"Functional_module_255",1,1,TRUE,"ENGASE",FALSE,NA,FALSE,NA
"Functional_module_256",1,1,TRUE,"ENKD1",FALSE,NA,FALSE,NA
"Functional_module_257",1,1,TRUE,"ENPP7",FALSE,NA,FALSE,NA
